idcredito,target,duracao,valor,cd_tempo_parcelamento,tempo_parcelamento,cd_residencia_desde,residencia_desde,idade,cd_emprestimo_existente,emprestimo_existente,dependentes,socio_empresa,cd_estrangeiro,estrangeiro,historico_credito,proposito,cd_investimentos,faixa_investimento,cd_emprego,faixa_tempo_emprego,estado_civil,possui_fiador,habitacao,outros_financiamentos,qualificacao_profissional
2,0,48,5951,2,2-Parcelamento de 4 a 6 meses,2,2-Residência temporária,22,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
3,1,12,2096,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,49,1,Nenhum,2,0,0,Não,Critico-outros creditos,educacao,2,<100,4,4<=X<7,Viuvo,nao,proria,nenhum,nao qualificado
4,1,42,7882,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,45,1,Nenhum,2,0,0,Não,existentes/pagos,moveis,2,<100,4,4<=X<7,Viuvo,sim,de graca,nenhum,qualificado
5,0,24,4870,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,53,2,Baixo (1-2 empréstimos),2,0,0,Não,Atrasos anteriores,veiculo novo,2,<100,3,1<=X<4,Viuvo,nao,de graca,nenhum,qualificado
6,1,36,9055,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,35,1,Nenhum,2,1,0,Não,existentes/pagos,educacao,1,Desconhecido,3,1<=X<4,Viuvo,nao,de graca,nenhum,nao qualificado
7,1,24,2835,3,3-Parcelamento de 7 a 12 meses,4,4-Residência em instituições,53,1,Nenhum,1,0,0,Não,existentes/pagos,moveis,3,500<=X<1000,2,>=7,Viuvo,nao,proria,nenhum,qualificado
9,1,12,3059,2,2-Parcelamento de 4 a 6 meses,4,4-Residência em instituições,61,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,4,>=1000,4,4<=X<7,Casado,nao,proria,nenhum,nao qualificado
11,0,12,1295,3,3-Parcelamento de 7 a 12 meses,1,1-Residência fixa,25,1,Nenhum,1,0,0,Não,existentes/pagos,veiculo novo,2,<100,1,<1,Solteiro,nao,alugada,nenhum,qualificado
13,1,12,1567,1,1-Parcelamento em até 3 meses,1,1-Residência fixa,22,1,Nenhum,1,1,0,Não,existentes/pagos,reforma,2,<100,3,1<=X<4,Solteiro,nao,proria,nenhum,qualificado
14,0,24,1199,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,60,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,veiculo novo,2,<100,2,>=7,Viuvo,nao,proria,nenhum,nao qualificado
16,0,24,1282,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,32,1,Nenhum,1,0,0,Não,existentes/pagos,reforma,5,100<=X<500,3,1<=X<4,Solteiro,nao,proria,nenhum,nao qualificado
17,1,24,2424,4,4-Parcelamento acima de 12 meses,4,4-Residência em instituições,53,2,Baixo (1-2 empréstimos),1,0,0,Não,Critico-outros creditos,reforma,1,Desconhecido,2,>=7,Viuvo,nao,proria,nenhum,qualificado
18,1,30,8072,2,2-Parcelamento de 4 a 6 meses,3,3-Residência com familiares,25,3,Médio (3-4 empréstimos),1,0,0,Não,sem creditos/todos pagos,abrir negocio,1,Desconhecido,1,<1,Viuvo,nao,proria,banco,qualificado
19,0,24,12579,4,4-Parcelamento acima de 12 meses,2,2-Residência temporária,44,1,Nenhum,1,1,0,Não,existentes/pagos,veiculo usado,2,<100,2,>=7,Solteiro,nao,de graca,nenhum,altamente qualificado/empresario
20,1,24,3430,3,3-Parcelamento de 7 a 12 meses,2,2-Residência temporária,31,1,Nenhum,2,1,0,Não,existentes/pagos,reforma,3,500<=X<1000,2,>=7,Viuvo,nao,proria,nenhum,qualificado
